user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is Kubernetes?,['Kubernetes is an open-source container orchestration platform.'],Kubernetes is an open-source container orchestration platform.,Kubernetes is an open-source container orchestration platform.,1.0,0.9999999999999263,0.9999999999,1.0
Who created Docker?,['Docker was created by Solomon Hykes.'],Docker was created by Solomon Hykes.,Docker was created by Solomon Hykes.,1.0,0.9999999999999106,0.9999999999,1.0
What is LiteLLM?,['LiteLLM provides a unified interface to multiple LLM providers.'],LiteLLM provides a unified interface to multiple LLM providers.,LiteLLM provides a unified interface to multiple LLM providers.,,0.8768974481399207,0.9999999999,1.0
What is Qdrant?,['Qdrant is an open-source vector database.'],Qdrant is an open-source vector database.,Qdrant is an open-source vector database.,1.0,0.9999999999999156,0.9999999999,1.0
What is Kubernetes?,['Tomatoes grow well in summer. Redis is an in-memory cache.'],Kubernetes is an open-source container orchestration platform.,Kubernetes is an open-source container orchestration platform.,0.0,0.9999999999999263,0.0,0.0
Who created Docker?,['LangFuse provides observability. PostgreSQL is a database.'],Docker was created by Solomon Hykes.,Docker was created by Solomon Hykes.,0.0,0.9999999999999106,0.0,0.0
What is RAG?,['Anthropic develops Claude models. Redis is used for caching.'],RAG combines retrieval and generation.,Retrieval Augmented Generation combines retrieval and generation.,0.0,0.8325549301508225,0.0,0.0
What is Ollama?,['Qdrant is a vector database. PostgreSQL is relational.'],Ollama runs local language models.,Ollama enables running large language models locally.,0.0,0.798547702641143,0.0,0.0
What is Kubernetes?,['Kubernetes is open-source.'],Kubernetes is an open-source container orchestration platform.,Kubernetes is an open-source container orchestration platform.,0.0,0.9999999999999263,0.0,0.5
Who created Docker?,['Docker was created by Solomon Hykes.'],Docker was created by Solomon Hykes and started Docker Inc.,Docker was created by Solomon Hykes and led to Docker Inc.,0.5,0.9999999999999106,0.0,0.5
What is RAG?,['RAG combines retrieval and generation.'],RAG combines retrieval and generation to answer questions using external knowledge.,Retrieval Augmented Generation combines retrieval and generation using retrieved external knowledge.,0.5,0.5181728247552034,0.0,0.5
What is LangFuse?,['LangFuse provides observability.'],LangFuse provides observability for LLM applications.,LangFuse provides observability for LLM applications.,0.5,0.6701598877290831,0.9999999999,1.0
What is Kubernetes?,['Kubernetes is open-source. Kubernetes is used for orchestration. Tomatoes grow in summer. PostgreSQL is a database.'],Kubernetes is an open-source orchestration platform.,Kubernetes is an open-source container orchestration platform.,0.5,0.9999999999999263,0.9999999999,0.6
What is Docker?,['Docker was created by Solomon Hykes. Redis is a cache. Docker packages applications into containers. Tomatoes require water.'],Docker was created by Solomon Hykes and packages applications into containers.,Docker was created by Solomon Hykes and packages applications into containers.,1.0,0.9110971773874731,0.9999999999,0.5
What is LiteLLM?,['LiteLLM provides a unified interface. Redis is a cache. LiteLLM supports multiple providers. PostgreSQL is relational.'],LiteLLM provides a unified interface for multiple LLM providers.,LiteLLM provides a unified interface for multiple LLM providers.,,0.8768974481399207,0.9999999999,1.0
What is Agentic AI?,['Agentic AI systems use tools and reasoning. Tomatoes are vegetables. Agentic AI can perform actions. Redis is used for caching.'],"Agentic AI systems use tools, reasoning and actions.","Agentic AI systems can reason, use tools and perform actions.",1.0,0.8956406698300898,0.9999999999,0.3333333333333333
